Datum,Lufttemperatur,Kvalitet
2022-04-04,0.6,Y
2022-04-05,-0.6,Y
2022-04-06,0.9,Y
2022-04-07,0.8,Y
2022-04-08,1.2,Y
2022-04-09,-0.6,Y
2022-04-10,3.1,Y
2022-04-11,4.1,Y
2022-04-12,3.6,Y
2022-04-13,6.1,Y
2022-04-14,3.7,Y
2022-04-15,1.6,Y
2022-04-16,5.2,Y
2022-04-17,6.9,Y
2022-04-18,6.2,Y
2022-04-19,6.8,Y
2022-04-20,4.7,Y
2022-04-21,5.5,Y
2022-04-22,5.1,Y
2022-04-23,4.1,Y
2022-04-24,3.7,Y
2022-04-25,5.1,Y
2022-04-26,3.9,Y
2022-04-27,2.9,Y
2022-04-28,5.2,Y
2022-04-29,3.9,Y
2022-04-30,6.4,Y
2022-05-01,7.0,Y
2022-05-02,8.8,Y
2022-05-03,5.0,Y
2022-05-04,6.2,Y
2022-05-05,10.7,Y
2022-05-06,9.7,Y
2022-05-07,7.8,Y
2022-05-08,6.6,Y
2022-05-09,10.4,Y
2022-05-10,12.4,Y
2022-05-11,11.4,Y
2022-05-12,10.3,Y
2022-05-13,10.3,Y
2022-05-14,9.9,Y
2022-05-15,8.9,Y
2022-05-16,7.5,Y
2022-05-17,6.3,Y
2022-05-18,13.1,Y
2022-05-19,8.6,Y
2022-05-20,9.5,Y
2022-05-21,8.6,Y
2022-05-22,10.9,Y
2022-05-23,12.1,Y
2022-05-24,11.9,Y
2022-05-25,13.9,Y
2022-05-26,12.2,Y
2022-05-27,9.5,Y
2022-05-28,8.7,Y
2022-05-29,8.7,Y
2022-05-30,9.0,Y
2022-05-31,9.0,Y
2022-06-01,12.6,Y
2022-06-02,9.9,Y
2022-06-03,12.4,Y
2022-06-04,13.6,Y
2022-06-05,12.5,Y
2022-06-06,13.2,Y
2022-06-07,13.9,Y
2022-06-08,14.3,Y
2022-06-09,15.7,Y
2022-06-10,17.0,Y
2022-06-11,17.0,Y
2022-06-12,16.3,Y
2022-06-13,14.7,Y
2022-06-14,14.6,Y
2022-06-15,15.7,Y
2022-06-16,15.6,Y
2022-06-17,15.7,Y
2022-06-18,15.3,Y
2022-06-19,14.8,Y
2022-06-20,14.6,Y
2022-06-21,17.1,Y
2022-06-22,15.9,Y
2022-06-23,20.1,Y
2022-06-24,22.3,Y
2022-06-25,22.7,Y
2022-06-26,22.5,Y
2022-06-27,24.0,Y
2022-06-28,22.5,Y
2022-06-29,18.9,Y
2022-06-30,21.5,Y
2022-07-01,20.5,Y
2022-07-02,21.0,Y
2022-07-03,18.8,Y
2022-07-04,18.6,Y
2022-07-05,17.2,Y
2022-07-06,16.0,Y
2022-07-07,15.3,Y
2022-07-08,16.3,Y
2022-07-09,15.5,Y
2022-07-10,14.9,Y
2022-07-11,17.1,Y
2022-07-12,18.3,Y
2022-07-13,18.6,Y
2022-07-14,15.2,Y
2022-07-15,13.1,Y
2022-07-16,12.9,Y
2022-07-17,14.8,Y
2022-07-18,17.7,Y
2022-07-19,16.3,Y
2022-07-20,21.9,Y
2022-07-21,26.5,Y
2022-07-22,16.5,Y
2022-07-23,15.0,Y
2022-07-24,17.7,Y
2022-07-25,18.9,Y
2022-07-26,18.5,Y
2022-07-27,15.7,Y
2022-07-28,14.7,Y
2022-07-29,15.3,Y
2022-07-30,17.6,Y
2022-07-31,20.3,Y
2022-08-01,19.2,Y
2022-08-02,16.2,Y
2022-08-03,19.2,Y
2022-08-04,21.1,Y
2022-08-05,18.9,Y
2022-08-06,14.8,Y
2022-08-07,15.5,Y
2022-08-08,16.2,Y
2022-08-09,18.6,Y
2022-08-10,19.8,Y
2022-08-11,19.0,Y
2022-08-12,17.6,Y
2022-08-13,21.1,Y
2022-08-14,18.9,Y
2022-08-15,20.4,Y
2022-08-16,21.5,Y
2022-08-17,22.7,Y
2022-08-18,17.8,Y
2022-08-19,19.8,Y
2022-08-20,20.2,Y
2022-08-21,18.0,Y
2022-08-22,17.6,Y
2022-08-23,16.9,Y
2022-08-24,16.5,Y
2022-08-25,16.7,Y
2022-08-26,17.2,Y
2022-08-27,18.8,Y
2022-08-28,14.1,Y
2022-08-29,14.7,Y
2022-08-30,14.2,Y
2022-08-31,13.2,Y
2022-09-01,12.3,Y
2022-09-02,11.8,Y
2022-09-03,11.6,Y
2022-09-04,12.0,Y
2022-09-05,12.4,Y
2022-09-06,13.4,Y
2022-09-07,13.3,Y
2022-09-08,12.3,Y
2022-09-09,12.4,Y
2022-09-10,13.2,Y
2022-09-11,12.9,Y
2022-09-12,14.6,Y
2022-09-13,14.0,Y
2022-09-14,11.8,Y
2022-09-15,12.1,Y
2022-09-16,12.4,Y
2022-09-17,12.5,Y
2022-09-18,11.9,Y
2022-09-19,11.5,Y
2022-09-20,10.9,Y
2022-09-21,9.6,Y
2022-09-22,11.8,Y
2022-09-23,13.1,Y
2022-09-24,11.7,Y
2022-09-25,11.3,Y
2022-09-26,11.0,Y
2022-09-27,12.3,Y
2022-09-28,12.0,Y
2022-09-29,10.3,Y
2022-09-30,9.1,Y
2022-10-01,11.5,Y
2022-10-02,11.5,Y
2022-10-03,10.6,Y
2022-10-04,11.1,Y
2022-10-05,13.6,Y
2022-10-06,12.5,Y
2022-10-07,13.1,Y
2022-10-08,12.0,Y
2022-10-09,10.2,Y
2022-10-10,11.1,Y
2022-10-11,10.4,Y
2022-10-12,9.1,Y
2022-10-13,10.3,Y
2022-10-14,10.2,Y
2022-10-15,11.4,Y
2022-10-16,11.7,Y
2022-10-17,9.8,Y
2022-10-18,9.0,Y
2022-10-19,7.8,Y
2022-10-20,7.9,Y
2022-10-21,5.4,Y
2022-10-22,7.8,Y
2022-10-23,7.5,Y
2022-10-24,6.7,Y
2022-10-25,10.2,Y
2022-10-26,8.4,Y
2022-10-27,9.8,Y
2022-10-28,11.0,Y
2022-10-29,11.4,Y
2022-10-30,7.7,Y
2022-10-31,8.7,Y
2022-11-01,8.1,Y
2022-11-02,10.0,Y
2022-11-03,8.6,Y
2022-11-04,8.5,Y
2022-11-05,8.4,Y
2022-11-06,8.5,Y
2022-11-07,8.6,Y
2022-11-08,7.1,Y
2022-11-09,9.4,Y
2022-11-10,8.9,Y
2022-11-11,12.0,Y
2022-11-12,11.1,Y
2022-11-13,7.1,Y
2022-11-14,5.3,Y
2022-11-15,6.0,Y
2022-11-16,3.7,Y
2022-11-17,2.8,Y
2022-11-18,2.7,Y
2022-11-19,1.4,Y
2022-11-20,0.7,Y
2022-11-21,-0.2,Y
2022-11-22,2.4,Y
2022-11-23,1.0,Y
2022-11-24,2.5,Y
2022-11-25,2.5,Y
2022-11-26,2.0,Y
2022-11-27,2.9,Y
2022-11-28,3.2,Y
2022-11-29,2.7,Y
2022-11-30,2.4,Y
2022-12-01,2.8,Y
2022-12-02,2.2,Y
2022-12-03,1.7,Y
2022-12-04,0.2,Y
2022-12-05,-2.2,Y
2022-12-06,0.0,Y
2022-12-07,-0.6,Y
2022-12-08,-0.1,Y
2022-12-09,-2.9,Y
2022-12-10,-0.3,Y
2022-12-11,-2.1,Y
2022-12-12,-1.3,Y
2022-12-13,-3.8,Y
2022-12-14,-7.0,Y
2022-12-15,-7.5,Y
2022-12-16,-7.6,Y
2022-12-17,-4.5,Y
2022-12-18,1.2,Y
2022-12-19,-0.9,Y
2022-12-20,1.7,Y
2022-12-21,2.8,Y
2022-12-22,2.6,Y
2022-12-23,-1.3,Y
2022-12-24,-4.1,Y
2022-12-25,-6.1,Y
2022-12-26,1.1,Y
2022-12-27,0.1,Y
2022-12-28,-4.0,Y
2022-12-29,2.3,Y
2022-12-30,3.3,Y
2022-12-31,4.4,Y
2023-01-01,0.4,Y
2023-01-02,0.1,Y
2023-01-03,-0.5,Y
2023-01-04,-1.3,Y
2023-01-05,-3.3,Y
2023-01-06,-3.8,Y
2023-01-07,-1.0,Y
2023-01-08,2.3,Y
2023-01-09,2.6,Y
2023-01-10,1.1,Y
2023-01-11,3.9,Y
2023-01-12,3.2,Y
2023-01-13,2.9,Y
2023-01-14,1.8,Y
2023-01-15,2.7,Y
2023-01-16,1.5,Y
2023-01-17,1.7,Y
2023-01-18,2.1,Y
2023-01-19,0.2,Y
2023-01-20,-0.7,Y
2023-01-21,-3.1,Y
2023-01-22,-5.0,Y
2023-01-23,-4.6,Y
2023-01-24,1.5,Y
2023-01-25,4.3,Y
2023-01-26,2.1,Y
2023-01-27,-0.4,Y
2023-01-28,0.6,Y
2023-01-29,1.7,Y
2023-01-30,2.8,Y
2023-01-31,0.7,Y
2023-02-01,-1.3,Y
2023-02-02,-1.1,Y
2023-02-03,-2.9,Y
2023-02-04,-2.8,Y
2023-02-05,-1.3,Y
2023-02-06,0.2,Y
2023-02-07,1.7,Y
2023-02-08,2.2,Y
2023-02-09,2.4,Y
2023-02-10,0.9,Y
2023-02-11,-0.6,Y
2023-02-12,0.6,Y
2023-02-13,2.9,Y
2023-02-14,3.1,Y
2023-02-15,1.2,Y
2023-02-16,1.8,Y
2023-02-17,2.2,Y
2023-02-18,1.0,Y
2023-02-19,0.8,Y
2023-02-20,-1.0,Y
2023-02-21,-1.6,Y
2023-02-22,-2.3,Y
2023-02-23,-1.0,Y
2023-02-24,-3.4,Y
2023-02-25,-0.4,Y
2023-02-26,-0.2,Y
2023-02-27,2.0,Y
2023-02-28,2.3,Y
2023-03-01,2.6,Y
2023-03-02,2.5,Y
2023-03-03,2.0,Y
2023-03-04,-0.3,Y
2023-03-05,-1.2,Y
2023-03-06,-2.6,Y
2023-03-07,-3.2,Y
2023-03-08,-2.4,Y
2023-03-09,-3.5,Y
2023-03-10,-4.1,Y
2023-03-11,-3.5,Y
2023-03-12,-2.0,Y
2023-03-13,-2.7,Y
2023-03-14,0.5,Y
2023-03-15,-0.7,Y
2023-03-16,-1.2,Y
2023-03-17,1.6,Y
2023-03-18,2.6,Y
2023-03-19,2.4,Y
2023-03-20,1.2,Y
2023-03-21,2.0,Y
2023-03-22,4.1,Y
2023-03-23,4.6,Y
2023-03-24,4.3,Y
2023-03-25,-1.5,Y
2023-03-26,-1.3,Y
2023-03-27,-2.2,Y
2023-03-28,-2.1,Y
2023-03-29,-3.0,Y
2023-03-30,-2.6,Y
2023-03-31,-1.3,Y
2023-04-01,0.3,Y
2023-04-02,-0.2,Y
2023-04-03,-1.1,Y
2023-04-04,-0.8,Y
2023-04-05,0.2,Y
2023-04-06,-0.8,Y
2023-04-07,0.6,Y
2023-04-08,1.7,Y
2023-04-09,1.6,Y
2023-04-10,2.3,Y
2023-04-11,4.5,Y
2023-04-12,6.6,Y
2023-04-13,5.4,Y
2023-04-14,3.0,Y
2023-04-15,2.7,Y
2023-04-16,2.4,Y
2023-04-17,2.9,Y
2023-04-18,3.5,Y
2023-04-19,3.9,Y
2023-04-20,6.4,Y
2023-04-21,7.3,Y
2023-04-22,6.3,Y
2023-04-23,4.5,Y
2023-04-24,1.8,Y
2023-04-25,2.7,Y
2023-04-26,4.4,Y
2023-04-27,4.7,Y
2023-04-28,3.1,Y
2023-04-29,5.2,Y
2023-04-30,4.9,Y
2023-05-01,4.9,Y
2023-05-02,3.9,Y
2023-05-03,4.2,Y
2023-05-04,2.8,Y
2023-05-05,3.0,Y
2023-05-06,5.2,Y
2023-05-07,7.6,Y
2023-05-08,10.7,Y
2023-05-09,12.1,Y
2023-05-10,12.8,Y
2023-05-11,14.0,Y
2023-05-12,14.0,Y
2023-05-13,15.0,Y
2023-05-14,14.5,Y
2023-05-15,14.9,Y
2023-05-16,10.9,Y
2023-05-17,6.9,Y
2023-05-18,8.3,Y
2023-05-19,13.7,Y
2023-05-20,14.2,Y
2023-05-21,14.1,Y
2023-05-22,16.2,Y
2023-05-23,15.4,Y
2023-05-24,16.6,Y
2023-05-25,12.3,Y
2023-05-26,10.8,Y
2023-05-27,11.4,Y
2023-05-28,11.7,Y
2023-05-29,9.5,Y
2023-05-30,10.7,Y
2023-05-31,12.2,Y
2023-06-01,9.5,Y
2023-06-02,8.7,Y
2023-06-03,10.7,Y
2023-06-04,11.0,Y
2023-06-05,13.3,Y
2023-06-06,11.2,Y
2023-06-07,11.0,Y
2023-06-08,11.1,Y
2023-06-09,11.5,Y
2023-06-10,12.7,Y
2023-06-11,16.0,Y
2023-06-12,17.6,Y
2023-06-13,15.9,Y
2023-06-14,17.9,Y
2023-06-15,17.8,Y
2023-06-16,16.7,Y
2023-06-17,16.1,Y
2023-06-18,16.7,Y
2023-06-19,16.9,Y
2023-06-20,18.7,Y
2023-06-21,20.7,Y
2023-06-22,20.5,Y
2023-06-23,17.6,Y
2023-06-24,17.1,Y
2023-06-25,16.7,Y
2023-06-26,16.8,Y
2023-06-27,18.0,Y
2023-06-28,18.6,Y
2023-06-29,20.8,Y
2023-06-30,20.4,Y
2023-07-01,17.4,Y
2023-07-02,14.7,Y
2023-07-03,13.8,Y
2023-07-04,14.6,Y
2023-07-05,16.4,Y
2023-07-06,15.3,Y
2023-07-07,16.4,Y
2023-07-08,17.7,Y
2023-07-09,16.8,Y
2023-07-10,18.7,Y
2023-07-11,18.9,Y
2023-07-12,18.1,Y
2023-07-13,18.6,Y
2023-07-14,17.7,Y
2023-07-15,19.1,Y
2023-07-16,18.3,Y
2023-07-17,17.8,Y
2023-07-18,15.7,Y
2023-07-19,15.7,Y
2023-07-20,15.5,Y
2023-07-21,15.4,Y
2023-07-22,16.7,Y
2023-07-23,17.1,Y
2023-07-24,17.6,Y
2023-07-25,16.7,Y
2023-07-26,16.8,Y
2023-07-27,16.7,Y
2023-07-28,16.2,Y
2023-07-29,18.6,Y
2023-07-30,18.6,Y
2023-07-31,16.1,Y
2023-08-01,16.8,Y
2023-08-02,17.4,Y
2023-08-03,16.0,Y
2023-08-04,16.3,Y
2023-08-05,16.4,Y
2023-08-06,15.5,Y
2023-08-07,19.4,Y
2023-08-08,16.1,Y
2023-08-09,14.4,Y
2023-08-10,12.7,Y
2023-08-11,14.3,Y
2023-08-12,15.1,Y
2023-08-13,15.4,Y
2023-08-14,17.2,Y
2023-08-15,17.8,Y
2023-08-16,17.8,Y
2023-08-17,15.1,Y
2023-08-18,15.3,Y
2023-08-19,14.9,Y
2023-08-20,15.8,Y
2023-08-21,17.8,Y
2023-08-22,16.0,Y
2023-08-23,16.6,Y
2023-08-24,16.5,Y
2023-08-25,16.0,Y
2023-08-26,17.0,Y
2023-08-27,17.5,Y
2023-08-28,14.7,Y
2023-08-29,15.6,Y
2023-08-30,15.4,Y
2023-08-31,15.8,Y
2023-09-01,15.4,Y
2023-09-02,14.6,Y
2023-09-03,14.6,Y
2023-09-04,16.9,Y
2023-09-05,15.9,Y
2023-09-06,14.1,Y
2023-09-07,16.4,Y
2023-09-08,18.5,Y
2023-09-09,18.3,Y
2023-09-10,18.9,Y
2023-09-11,18.1,Y
2023-09-12,18.4,Y
2023-09-13,15.4,Y
2023-09-14,13.0,Y
2023-09-15,13.8,Y
2023-09-16,15.9,Y
2023-09-17,12.8,Y
2023-09-18,12.4,Y
2023-09-19,16.2,Y
2023-09-20,14.2,Y
2023-09-21,18.2,Y
2023-09-22,17.8,Y
2023-09-23,15.2,Y
2023-09-24,14.1,Y
2023-09-25,13.7,Y
2023-09-26,15.0,Y
2023-09-27,15.4,Y
2023-09-28,13.4,Y
2023-09-29,15.3,Y
2023-09-30,13.7,Y
2023-10-01,13.1,Y
2023-10-02,11.6,Y
2023-10-03,11.3,Y
2023-10-04,11.0,Y
2023-10-05,9.4,Y
2023-10-06,8.9,Y
2023-10-07,7.7,Y
2023-10-08,7.8,Y
2023-10-09,5.7,Y
2023-10-10,7.0,Y
2023-10-11,12.6,Y
2023-10-12,9.8,Y
2023-10-13,7.1,Y
2023-10-14,8.9,Y
2023-10-15,7.7,Y
2023-10-16,6.8,Y
2023-10-17,6.1,Y
2023-10-18,5.0,Y
2023-10-19,3.3,Y
2023-10-20,3.7,Y
2023-10-21,4.5,Y
2023-10-22,5.5,Y
2023-10-23,5.6,Y
2023-10-24,3.9,Y
2023-10-25,3.4,Y
2023-10-26,3.3,Y
2023-10-27,3.1,Y
2023-10-28,2.2,Y
2023-10-29,1.2,Y
2023-10-30,2.9,Y
2023-10-31,3.9,Y
