Datum,Lufttemperatur,Kvalitet
2022-01-01,-3.1,Y
2022-01-02,-0.9,Y
2022-01-03,1.1,Y
2022-01-04,-0.7,Y
2022-01-05,-4.3,Y
2022-01-06,-8.5,Y
2022-01-07,-11.7,Y
2022-01-08,-4.3,Y
2022-01-09,-2.5,Y
2022-01-10,-3.2,Y
2022-01-11,-1.5,Y
2022-01-12,1.5,Y
2022-01-13,6.2,Y
2022-01-14,2.3,Y
2022-01-15,-0.5,Y
2022-01-16,0.2,Y
2022-01-17,-0.1,Y
2022-01-18,-0.2,Y
2022-01-19,2.5,Y
2022-01-20,-1.7,Y
2022-01-21,-3.5,Y
2022-01-22,-6.2,Y
2022-01-23,-3.0,Y
2022-01-24,0.5,Y
2022-01-25,-2.6,Y
2022-01-26,-0.2,Y
2022-01-27,-0.6,Y
2022-01-28,-2.1,Y
2022-01-29,0.8,Y
2022-01-30,-0.5,Y
2022-01-31,-7.5,Y
2022-02-01,-9.0,Y
2022-02-02,-8.3,Y
2022-02-03,-6.8,Y
2022-02-04,0.1,Y
2022-02-05,-2.5,Y
2022-02-06,-0.3,Y
2022-02-07,-3.8,Y
2022-02-08,1.5,Y
2022-02-09,1.5,Y
2022-02-10,0.7,Y
2022-02-11,-3.2,Y
2022-02-12,0.4,Y
2022-02-13,3.3,Y
2022-02-14,0.6,Y
2022-02-15,1.0,Y
2022-02-16,0.8,Y
2022-02-17,-1.4,Y
2022-02-18,-3.7,Y
2022-02-19,-2.3,Y
2022-02-20,-6.2,Y
2022-02-21,-2.2,Y
2022-02-22,-7.6,Y
2022-02-23,-3.8,Y
2022-02-24,1.8,Y
2022-02-25,-0.5,Y
2022-02-26,-1.9,Y
2022-02-27,3.7,Y
2022-02-28,-0.4,Y
2022-03-01,0.1,Y
2022-03-02,0.9,Y
2022-03-03,0.1,Y
2022-03-04,-3.6,Y
2022-03-05,-1.4,Y
2022-03-06,0.5,Y
2022-03-07,2.3,Y
2022-03-08,-1.6,Y
2022-03-09,-0.9,Y
2022-03-10,1.3,Y
2022-03-11,2.6,Y
2022-03-12,0.3,Y
2022-03-13,0.3,Y
2022-03-14,0.3,Y
2022-03-15,-0.8,Y
2022-03-16,0.6,Y
2022-03-17,-0.5,Y
2022-03-18,2.6,Y
2022-03-19,2.5,Y
2022-03-20,5.3,Y
2022-03-21,2.7,Y
2022-03-22,2.2,Y
2022-03-23,6.3,Y
2022-03-24,5.8,Y
2022-03-25,8.8,Y
2022-03-26,5.6,Y
2022-03-27,3.8,Y
2022-03-28,6.8,Y
2022-03-29,-1.0,Y
2022-03-30,-2.3,Y
2022-03-31,-2.2,Y
2022-04-01,-2.0,Y
2022-04-02,-1.6,Y
2022-04-03,3.0,Y
2022-04-04,0.4,Y
2022-04-05,-1.8,Y
2022-04-06,-0.5,Y
2022-04-07,-1.4,Y
2022-04-08,-0.8,Y
2022-04-09,0.2,Y
2022-04-10,3.7,Y
2022-04-11,4.8,Y
2022-04-12,4.7,Y
2022-04-13,2.4,Y
2022-04-14,3.9,Y
2022-04-15,4.3,Y
2022-04-16,6.2,Y
2022-04-17,9.5,Y
2022-04-18,10.1,Y
2022-04-19,9.1,Y
2022-04-20,9.2,Y
2022-04-21,10.1,Y
2022-04-22,7.3,Y
2022-04-23,6.2,Y
2022-04-24,6.0,Y
2022-04-25,6.9,Y
2022-04-26,5.7,Y
2022-04-27,4.1,Y
2022-04-28,6.2,Y
2022-04-29,5.5,Y
2022-04-30,7.0,Y
2022-05-01,9.2,Y
2022-05-02,10.1,Y
2022-05-03,6.3,Y
2022-05-04,6.5,Y
2022-05-05,10.3,Y
2022-05-06,11.9,Y
2022-05-07,10.3,Y
2022-05-08,6.8,Y
2022-05-09,10.9,Y
2022-05-10,11.6,Y
2022-05-11,11.7,Y
2022-05-12,11.7,Y
2022-05-13,11.8,Y
2022-05-14,12.5,Y
2022-05-15,10.6,Y
2022-05-16,8.8,Y
2022-05-17,8.6,Y
2022-05-18,13.9,Y
2022-05-19,14.0,Y
2022-05-20,12.0,Y
2022-05-21,10.7,Y
2022-05-22,12.3,Y
2022-05-23,12.9,Y
2022-05-24,14.3,Y
2022-05-25,13.5,Y
2022-05-26,10.7,Y
2022-05-27,10.2,Y
2022-05-28,11.1,Y
2022-05-29,10.2,Y
2022-05-30,12.3,Y
2022-05-31,11.4,Y
2022-06-01,13.3,Y
2022-06-02,11.7,Y
2022-06-03,12.7,Y
2022-06-04,13.7,Y
2022-06-05,15.1,Y
2022-06-06,16.0,Y
2022-06-07,15.0,Y
2022-06-08,14.9,Y
2022-06-09,17.2,Y
2022-06-10,17.4,Y
2022-06-11,16.5,Y
2022-06-12,15.5,Y
2022-06-13,14.9,Y
2022-06-14,15.9,Y
2022-06-15,15.6,Y
2022-06-16,16.9,Y
2022-06-17,17.4,Y
2022-06-18,16.4,Y
2022-06-19,13.4,Y
2022-06-20,15.1,Y
2022-06-21,16.5,Y
2022-06-22,14.5,Y
2022-06-23,21.0,Y
2022-06-24,21.2,Y
2022-06-25,22.7,Y
2022-06-26,23.3,Y
2022-06-27,24.0,Y
2022-06-28,22.6,Y
2022-06-29,19.6,Y
2022-06-30,21.2,Y
2022-07-01,20.8,Y
2022-07-02,19.9,Y
2022-07-03,16.6,Y
2022-07-04,15.9,Y
2022-07-05,16.3,Y
2022-07-06,17.2,Y
2022-07-07,16.5,Y
2022-07-08,15.5,Y
2022-07-09,15.7,Y
2022-07-10,13.0,Y
2022-07-11,16.7,Y
2022-07-12,18.4,Y
2022-07-13,17.3,Y
2022-07-14,14.5,Y
2022-07-15,13.0,Y
2022-07-16,13.3,Y
2022-07-17,14.4,Y
2022-07-18,17.6,Y
2022-07-19,18.0,Y
2022-07-20,22.7,Y
2022-07-21,24.6,Y
2022-07-22,16.6,Y
2022-07-23,15.7,Y
2022-07-24,16.8,Y
2022-07-25,16.9,Y
2022-07-26,16.9,Y
2022-07-27,15.3,Y
2022-07-28,14.0,Y
2022-07-29,15.6,Y
2022-07-30,18.7,Y
2022-07-31,17.3,Y
2022-08-01,16.7,Y
2022-08-02,14.2,Y
2022-08-03,16.5,Y
2022-08-04,17.7,Y
2022-08-05,18.3,Y
2022-08-06,13.9,Y
2022-08-07,14.4,Y
2022-08-08,15.5,Y
2022-08-09,16.7,Y
2022-08-10,19.8,Y
2022-08-11,21.0,Y
2022-08-12,18.9,Y
2022-08-13,20.3,Y
2022-08-14,20.9,Y
2022-08-15,20.2,Y
2022-08-16,21.9,Y
2022-08-17,20.8,Y
2022-08-18,17.3,Y
2022-08-19,19.7,Y
2022-08-20,20.2,Y
2022-08-21,17.1,Y
2022-08-22,15.9,Y
2022-08-23,14.4,Y
2022-08-24,15.8,Y
2022-08-25,16.7,Y
2022-08-26,15.6,Y
2022-08-27,18.0,Y
2022-08-28,14.7,Y
2022-08-29,12.6,Y
2022-08-30,12.5,Y
2022-08-31,11.6,Y
2022-09-01,11.4,Y
2022-09-02,10.9,Y
2022-09-03,9.7,Y
2022-09-04,9.3,Y
2022-09-05,10.8,Y
2022-09-06,11.9,Y
2022-09-07,10.3,Y
2022-09-08,11.4,Y
2022-09-09,8.9,Y
2022-09-10,9.6,Y
2022-09-11,12.1,Y
2022-09-12,13.1,Y
2022-09-13,12.1,Y
2022-09-14,11.2,Y
2022-09-15,11.1,Y
2022-09-16,11.2,Y
2022-09-17,11.9,Y
2022-09-18,11.3,Y
2022-09-19,9.9,Y
2022-09-20,9.4,Y
2022-09-21,8.4,Y
2022-09-22,8.9,Y
2022-09-23,11.7,Y
2022-09-24,10.6,Y
2022-09-25,10.9,Y
2022-09-26,9.9,Y
2022-09-27,11.5,Y
2022-09-28,11.4,Y
2022-09-29,7.9,Y
2022-09-30,7.8,Y
2022-10-01,9.3,Y
2022-10-02,10.0,Y
2022-10-03,9.0,Y
2022-10-04,7.6,Y
2022-10-05,13.3,Y
2022-10-06,11.9,Y
2022-10-07,11.5,Y
2022-10-08,8.6,Y
2022-10-09,6.2,Y
2022-10-10,10.7,Y
2022-10-11,8.0,Y
2022-10-12,4.2,Y
2022-10-13,9.6,Y
2022-10-14,9.3,Y
2022-10-15,7.9,Y
2022-10-16,9.4,Y
2022-10-17,7.4,Y
2022-10-18,6.2,Y
2022-10-19,3.7,Y
2022-10-20,2.9,Y
2022-10-21,2.0,Y
2022-10-22,2.3,Y
2022-10-23,1.9,Y
2022-10-24,4.2,Y
2022-10-25,7.6,Y
2022-10-26,6.2,Y
2022-10-27,9.6,Y
2022-10-28,11.5,Y
2022-10-29,11.4,Y
2022-10-30,4.3,Y
2022-10-31,9.1,Y
2022-11-01,7.5,Y
2022-11-02,9.7,Y
2022-11-03,6.9,Y
2022-11-04,7.6,Y
2022-11-05,7.1,Y
2022-11-06,7.5,Y
2022-11-07,7.5,Y
2022-11-08,6.0,Y
2022-11-09,8.4,Y
2022-11-10,8.4,Y
2022-11-11,13.1,Y
2022-11-12,10.6,Y
2022-11-13,1.5,Y
2022-11-14,3.6,Y
2022-11-15,3.6,Y
2022-11-16,2.0,Y
2022-11-17,0.4,Y
2022-11-18,0.1,Y
2022-11-19,-0.3,Y
2022-11-20,-1.3,Y
2022-11-21,-1.4,Y
2022-11-22,-0.2,Y
2022-11-23,-0.2,Y
2022-11-24,0.4,Y
2022-11-25,0.3,Y
2022-11-26,-0.1,Y
2022-11-27,-0.6,Y
2022-11-28,0.8,Y
2022-11-29,1.3,Y
2022-11-30,0.6,Y
2022-12-01,0.1,Y
2022-12-02,0.6,Y
2022-12-03,-1.6,Y
2022-12-04,-5.1,Y
2022-12-05,-8.4,Y
2022-12-06,-6.5,Y
2022-12-07,-9.8,Y
2022-12-08,-12.2,Y
2022-12-09,-6.9,Y
2022-12-10,-6.8,Y
2022-12-11,-13.5,Y
2022-12-12,-6.6,Y
2022-12-13,-12.0,Y
2022-12-14,-16.4,Y
2022-12-15,-16.3,Y
2022-12-16,-17.2,Y
2022-12-17,-4.0,Y
2022-12-18,0.9,Y
2022-12-19,-4.5,Y
2022-12-20,0.4,Y
2022-12-21,2.1,Y
2022-12-22,1.6,Y
2022-12-23,-7.9,Y
2022-12-24,-15.8,Y
2022-12-25,-15.4,Y
2022-12-26,-0.4,Y
2022-12-27,-0.9,Y
2022-12-28,-10.7,Y
2022-12-29,-1.5,Y
2022-12-30,1.8,Y
2022-12-31,4.0,Y
2023-01-01,-3.7,Y
2023-01-02,-4.9,Y
2023-01-03,-8.1,Y
2023-01-04,-9.4,Y
2023-01-05,-5.3,Y
2023-01-06,-9.1,Y
2023-01-07,-2.0,Y
2023-01-08,1.7,Y
2023-01-09,1.3,Y
2023-01-10,0.5,Y
2023-01-11,2.9,Y
2023-01-12,2.6,Y
2023-01-13,1.2,Y
2023-01-14,-0.4,Y
2023-01-15,1.0,Y
2023-01-16,-1.4,Y
2023-01-17,0.2,Y
2023-01-18,0.6,Y
2023-01-19,-0.3,Y
2023-01-20,-2.5,Y
2023-01-21,-10.0,Y
2023-01-22,-13.5,Y
2023-01-23,-8.0,Y
2023-01-24,1.6,Y
2023-01-25,4.9,Y
2023-01-26,0.5,Y
2023-01-27,-5.1,Y
2023-01-28,-1.5,Y
2023-01-29,0.8,Y
2023-01-30,2.8,Y
2023-01-31,-2.5,Y
2023-02-01,-5.9,Y
2023-02-02,-7.8,Y
2023-02-03,-6.5,Y
2023-02-04,-8.4,Y
2023-02-05,-3.4,Y
2023-02-06,-3.9,Y
2023-02-07,1.6,Y
2023-02-08,2.7,Y
2023-02-09,3.0,Y
2023-02-10,-1.0,Y
2023-02-11,-4.7,Y
2023-02-12,-0.7,Y
2023-02-13,2.6,Y
2023-02-14,-1.1,Y
2023-02-15,1.4,Y
2023-02-16,1.8,Y
2023-02-17,0.4,Y
2023-02-18,0.6,Y
2023-02-19,-1.6,Y
2023-02-20,-3.0,Y
2023-02-21,-2.5,Y
2023-02-22,-7.7,Y
2023-02-23,-3.3,Y
2023-02-24,-4.3,Y
2023-02-25,-3.4,Y
2023-02-26,0.1,Y
2023-02-27,3.0,Y
2023-02-28,2.3,Y
2023-03-01,3.3,Y
2023-03-02,3.5,Y
2023-03-03,3.1,Y
2023-03-04,-1.1,Y
2023-03-05,-2.5,Y
2023-03-06,-7.4,Y
2023-03-07,-8.4,Y
2023-03-08,-5.5,Y
2023-03-09,-7.0,Y
2023-03-10,-11.6,Y
2023-03-11,-6.4,Y
2023-03-12,-4.5,Y
2023-03-13,-4.7,Y
2023-03-14,-1.1,Y
2023-03-15,-4.1,Y
2023-03-16,-1.9,Y
2023-03-17,-0.3,Y
2023-03-18,2.8,Y
2023-03-19,-0.1,Y
2023-03-20,2.0,Y
2023-03-21,0.8,Y
2023-03-22,3.7,Y
2023-03-23,5.7,Y
2023-03-24,4.2,Y
2023-03-25,-1.9,Y
2023-03-26,-5.2,Y
2023-03-27,-5.7,Y
2023-03-28,-3.7,Y
2023-03-29,-5.5,Y
2023-03-30,-5.1,Y
2023-03-31,-3.4,Y
2023-04-01,-1.3,Y
2023-04-02,-1.7,Y
2023-04-03,-1.7,Y
2023-04-04,1.7,Y
2023-04-05,2.0,Y
2023-04-06,1.1,Y
2023-04-07,2.1,Y
2023-04-08,3.9,Y
2023-04-09,4.2,Y
2023-04-10,4.9,Y
